Id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount (in lac),Duration,Purpose,Risk,Income,Childern Count,Income Type,Education Type,Has a phone,Has a email id,Occupation Type
256,35,male,1,own,little,NA,2684,24,radio/TV,good,225000,1,Commercial associate,Secondary / secondary special,0,1,Drivers
257,29,male,2,free,little,little,2149,12,radio/TV,bad,135000,0,Working,Secondary / secondary special,0,0,Drivers
258,23,female,2,own,moderate,NA,3812,15,car,good,270000,0,Working,Secondary / secondary special,0,0,Managers
259,57,female,1,own,moderate,NA,1154,11,radio/TV,good,112500,0,State servant,Secondary / secondary special,0,0,Medicine staff
260,27,male,2,own,little,little,1657,12,furniture/equipment,good,63000,0,Commercial associate,Secondary / secondary special,1,0,Sales staff
261,55,female,2,own,little,little,1603,24,radio/TV,good,112500,1,Working,Secondary / secondary special,0,0,Laborers
262,36,male,3,free,little,little,5302,18,car,good,180000,0,Working,Secondary / secondary special,0,0,Sales staff
263,57,female,1,free,little,NA,2748,12,education,good,292500,0,Pensioner,Secondary / secondary special,0,0,
264,32,male,1,own,little,NA,1231,10,car,good,225000,0,Working,Secondary / secondary special,1,0,
265,37,male,2,own,little,moderate,802,15,radio/TV,bad,135000,0,Working,Incomplete higher,0,1,Sales staff
266,36,male,2,own,NA,NA,6304,36,business,good,225000,0,State servant,Secondary / secondary special,0,0,Managers
267,38,female,2,own,little,NA,1533,24,radio/TV,good,157500,0,Working,Higher education,0,0,Sales staff
268,45,male,3,own,little,little,8978,14,car,bad,157500,0,State servant,Secondary / secondary special,0,0,Laborers
269,25,male,2,own,NA,NA,999,24,radio/TV,good,180000,0,Working,Higher education,0,0,
270,32,male,2,own,NA,NA,2662,18,car,good,87750,0,Pensioner,Higher education,1,0,
271,37,female,2,rent,quite rich,NA,1402,12,furniture/equipment,good,292500,2,Working,Secondary / secondary special,1,0,Laborers
272,36,male,3,free,NA,moderate,12169,48,car,good,121500,1,Working,Higher education,0,0,Sales staff
273,28,male,2,own,little,moderate,3060,48,radio/TV,bad,67500,0,Working,Secondary / secondary special,1,0,Core staff
274,34,male,1,own,little,little,11998,30,repairs,bad,180000,0,Working,Higher education,0,0,Core staff
275,32,male,2,own,little,NA,2697,9,radio/TV,good,90000,0,Working,Higher education,0,0,Core staff
276,26,female,2,own,little,NA,2404,18,radio/TV,good,135000,1,Commercial associate,Higher education,1,0,
277,49,male,1,own,NA,little,1262,12,furniture/equipment,good,225000,0,Working,Secondary / secondary special,0,0,High skill tech staff
278,32,female,2,own,little,NA,4611,6,furniture/equipment,bad,270000,1,Commercial associate,Secondary / secondary special,0,0,
279,29,male,3,rent,moderate,NA,1901,24,radio/TV,good,225000,2,Working,Secondary / secondary special,0,0,Laborers
280,23,male,2,rent,rich,NA,3368,15,car,good,450000,0,Commercial associate,Higher education,1,0,Managers
281,50,male,2,own,little,NA,1574,12,furniture/equipment,good,112500,1,Commercial associate,Secondary / secondary special,0,0,Sales staff
282,49,male,1,own,NA,rich,1445,18,radio/TV,good,135000,0,State servant,Secondary / secondary special,0,0,Laborers
283,63,male,2,own,NA,NA,1520,15,furniture/equipment,good,36000,0,Pensioner,Secondary / secondary special,1,0,
284,37,male,2,own,moderate,moderate,3878,24,car,good,180000,0,Working,Secondary / secondary special,0,0,
285,35,female,1,own,little,little,10722,47,car,good,171000,1,State servant,Secondary / secondary special,0,0,Core staff
286,26,male,2,own,little,little,4788,48,car,good,135000,0,Working,Secondary / secondary special,1,0,
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good,157500,0,Pensioner,Secondary / secondary special,0,0,
288,49,female,2,own,little,moderate,1092,12,radio/TV,good,382500,0,Commercial associate,Incomplete higher,1,1,Core staff
289,48,male,2,own,little,little,1024,24,radio/TV,bad,90000,0,Working,Secondary / secondary special,0,0,Security staff
290,26,male,2,own,little,NA,1076,12,business,good,63000,0,Pensioner,Secondary / secondary special,1,0,
291,28,male,3,rent,little,moderate,9398,36,car,bad,157500,0,Commercial associate,Secondary / secondary special,1,0,Laborers
292,44,female,3,free,little,little,6419,24,car,good,270000,0,Commercial associate,Higher education,0,0,Realty agents
293,56,male,2,free,little,rich,4796,42,car,good,270000,0,Working,Secondary / secondary special,1,1,High skill tech staff
294,46,male,3,own,NA,NA,7629,48,business,good,166500,0,Commercial associate,Secondary / secondary special,0,0,Laborers
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad,202500,2,Commercial associate,Secondary / secondary special,0,0,High skill tech staff
296,20,female,2,rent,NA,NA,4675,12,car,good,76500,0,Working,Secondary / secondary special,0,0,Laborers
297,45,male,1,own,NA,NA,1287,10,car,good,90000,0,Working,Secondary / secondary special,1,1,Laborers
298,43,male,2,own,little,NA,2515,18,furniture/equipment,good,315000,0,Working,Secondary / secondary special,1,0,Drivers
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good,112500,0,Commercial associate,Higher education,1,0,Laborers
300,54,female,0,own,little,NA,672,6,car,good,157500,0,Working,Secondary / secondary special,0,0,Laborers
301,42,female,2,own,little,moderate,3804,36,radio/TV,bad,180000,0,State servant,Higher education,1,0,Core staff
302,37,male,1,own,NA,rich,1344,24,car,bad,81000,0,Pensioner,Secondary / secondary special,0,0,
303,49,male,2,own,little,little,1038,10,car,good,135000,0,Working,Incomplete higher,0,0,
304,44,male,2,free,quite rich,NA,10127,48,car,bad,108000,0,Pensioner,Secondary / secondary special,1,0,
305,33,male,2,own,rich,NA,1543,6,furniture/equipment,good,112500,0,Pensioner,Secondary / secondary special,1,0,
306,24,female,1,rent,NA,NA,4811,30,car,good,69750,0,Pensioner,Secondary / secondary special,0,0,
307,33,male,1,own,moderate,little,727,12,radio/TV,bad,81000,0,Working,Secondary / secondary special,0,0,Sales staff
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad,112500,1,Commercial associate,Secondary / secondary special,1,0,Sales staff
309,22,male,1,rent,little,moderate,276,9,car,good,315000,0,Working,Secondary / secondary special,0,0,
310,40,male,0,free,NA,moderate,5381,48,vacation/others,good,180000,0,Working,Secondary / secondary special,0,0,Cleaning staff
311,25,male,2,own,moderate,NA,5511,24,furniture/equipment,good,225000,0,Commercial associate,Incomplete higher,0,1,Accountants
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good,112500,1,Working,Secondary / secondary special,0,0,Laborers
313,25,male,1,own,little,moderate,685,12,car,bad,67500,0,Commercial associate,Secondary / secondary special,0,0,
314,29,male,1,own,NA,rich,1494,4,car,good,270000,0,Working,Secondary / secondary special,0,0,Laborers
315,31,male,2,own,little,little,2746,36,furniture/equipment,bad,157500,1,Commercial associate,Secondary / secondary special,0,0,Sales staff
316,38,male,1,own,little,little,708,12,furniture/equipment,good,360000,1,Commercial associate,Higher education,0,1,Core staff
317,48,female,1,own,NA,moderate,4351,24,furniture/equipment,good,315000,0,Working,Secondary / secondary special,0,0,Laborers
318,32,male,2,own,little,NA,701,12,education,good,247500,0,Pensioner,Higher education,0,0,
319,27,female,1,own,little,little,3643,15,furniture/equipment,good,765000,0,Commercial associate,Higher education,0,0,Managers
320,28,male,3,own,little,moderate,4249,30,car,bad,166500,0,Working,Secondary / secondary special,1,0,
321,32,male,2,own,little,little,1938,24,radio/TV,bad,157500,0,Commercial associate,Secondary / secondary special,0,0,Laborers
322,34,male,3,free,little,little,2910,24,car,good,45000,0,Pensioner,Secondary / secondary special,1,0,
323,28,male,2,own,rich,little,2659,18,furniture/equipment,good,450000,1,Commercial associate,Higher education,1,1,Core staff
324,36,female,2,own,little,NA,1028,18,car,good,90000,0,Pensioner,Secondary / secondary special,1,0,
325,39,male,1,own,little,little,3398,8,car,good,225000,0,State servant,Secondary / secondary special,0,0,Core staff
326,49,male,2,rent,NA,NA,5801,12,furniture/equipment,good,112500,2,Working,Secondary / secondary special,0,0,Laborers
327,34,female,2,own,rich,NA,1525,24,car,good,180000,0,Commercial associate,Higher education,1,0,
328,31,male,2,own,little,rich,4473,36,radio/TV,good,360000,0,Working,Secondary / secondary special,0,0,Drivers
329,28,male,2,own,little,moderate,1068,6,radio/TV,good,157500,2,Working,Higher education,0,0,High skill tech staff
330,75,male,3,free,little,little,6615,24,car,good,247500,1,Working,Secondary / secondary special,0,0,Sales staff
331,30,female,2,own,moderate,NA,1864,18,education,bad,112500,0,Working,Secondary / secondary special,0,0,Drivers
332,24,female,3,own,moderate,moderate,7408,60,car,bad,630000,0,Working,Higher education,0,0,High skill tech staff
333,24,female,1,rent,moderate,NA,11590,48,car,bad,121500,0,Commercial associate,Higher education,0,0,
334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad,180000,2,Working,Secondary / secondary special,0,0,Drivers
335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad,292500,2,Commercial associate,Secondary / secondary special,0,0,Drivers
336,23,female,1,own,little,moderate,2101,13,radio/TV,good,99000,0,Working,Secondary / secondary special,0,0,Secretaries
337,24,female,2,rent,NA,little,1275,15,domestic appliances,bad,247500,0,Working,Higher education,0,0,Core staff
338,28,male,2,own,little,little,4169,24,furniture/equipment,good,90000,0,State servant,Higher education,0,0,High skill tech staff
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good,153000,1,Working,Secondary / secondary special,0,0,Sales staff
340,24,female,2,free,little,moderate,5743,24,education,good,180000,2,Working,Secondary / secondary special,0,0,Laborers
341,26,female,1,rent,little,little,3599,21,furniture/equipment,good,405000,2,Working,Higher education,1,0,Core staff
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good,112500,0,Pensioner,Secondary / secondary special,0,0,
343,33,male,3,own,little,moderate,4439,18,business,good,225000,0,Commercial associate,Secondary / secondary special,0,0,Drivers
344,37,male,1,own,little,rich,3949,10,car,good,112500,0,Pensioner,Secondary / secondary special,0,0,
345,43,female,1,own,little,NA,1459,15,radio/TV,good,144000,0,State servant,Secondary / secondary special,1,0,Medicine staff
346,23,male,2,own,little,moderate,882,13,radio/TV,good,81000,0,Working,Secondary / secondary special,0,0,Cleaning staff
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good,270000,0,Pensioner,Secondary / secondary special,0,0,
348,34,male,1,own,moderate,NA,1743,6,business,good,202500,0,Pensioner,Secondary / secondary special,0,0,
349,32,male,2,free,rich,moderate,1136,9,education,bad,81000,0,Pensioner,Secondary / secondary special,0,0,
350,23,female,2,rent,little,NA,1236,9,domestic appliances,good,315000,0,Working,Higher education,0,0,Sales staff
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad,180000,0,Working,Secondary / secondary special,1,0,Core staff
352,38,male,3,own,NA,NA,3229,18,car,good,135000,0,Pensioner,Secondary / secondary special,1,0,
353,28,male,2,rent,little,little,6199,12,radio/TV,bad,157500,0,Working,Higher education,1,0,Security staff
354,46,male,2,free,quite rich,NA,727,10,education,good,81000,0,Commercial associate,Incomplete higher,1,0,Cleaning staff
355,23,male,1,own,little,moderate,1246,24,car,bad,112500,0,Commercial associate,Incomplete higher,0,0,Drivers
356,49,male,2,own,NA,NA,2331,12,radio/TV,good,180000,0,Working,Secondary / secondary special,1,0,Managers
357,26,male,3,own,little,NA,4463,36,radio/TV,bad,450000,1,Working,Higher education,0,0,Managers
358,28,male,2,own,little,NA,776,12,radio/TV,good,135000,2,Working,Secondary / secondary special,0,0,Medicine staff
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad,90000,0,Pensioner,Secondary / secondary special,0,0,
360,61,male,2,free,NA,moderate,1239,18,education,good,112500,0,Working,Secondary / secondary special,0,0,Sales staff
361,37,male,3,own,NA,rich,3399,12,radio/TV,good,112500,2,Working,Secondary / secondary special,0,0,Sales staff
362,36,female,2,own,little,rich,2247,12,car,good,180000,0,Working,Secondary / secondary special,0,0,Core staff
363,21,male,2,rent,little,NA,1766,6,furniture/equipment,good,135000,0,Working,Secondary / secondary special,0,0,Sales staff
364,25,male,0,own,little,little,2473,18,furniture/equipment,bad,112500,0,Pensioner,Secondary / secondary special,1,0,
365,36,male,2,own,little,NA,1542,12,business,good,54000,3,Working,Secondary / secondary special,0,0,Sales staff
366,27,male,2,own,little,NA,3850,18,car,good,450000,0,Commercial associate,Higher education,1,0,Managers
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good,472500,0,Working,Higher education,0,1,High skill tech staff
368,42,male,2,own,little,little,3446,36,furniture/equipment,bad,112500,0,Working,Secondary / secondary special,0,0,Laborers
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good,90000,2,Working,Higher education,0,0,Core staff
370,36,male,2,own,NA,NA,3079,36,car,good,67500,1,Working,Higher education,0,0,Managers
371,33,male,2,own,little,NA,6070,18,radio/TV,good,90000,0,Working,Higher education,0,0,Drivers
372,23,female,2,rent,little,NA,2146,10,furniture/equipment,good,180000,0,Working,Secondary / secondary special,0,0,Laborers
373,63,male,3,free,NA,NA,13756,60,car,good,90000,1,Working,Secondary / secondary special,0,0,Core staff
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad,157500,1,Working,Secondary / secondary special,1,0,Laborers
375,37,female,2,rent,little,little,7685,48,business,bad,90000,0,Working,Secondary / secondary special,1,0,Secretaries
376,34,male,2,own,little,NA,2320,18,radio/TV,good,157500,1,Working,Secondary / secondary special,0,0,Sales staff
377,36,male,2,free,NA,NA,846,7,radio/TV,good,202500,1,State servant,Secondary / secondary special,1,0,Medicine staff
378,57,male,3,free,little,moderate,14318,36,car,bad,112500,0,Commercial associate,Secondary / secondary special,0,0,
379,52,female,1,own,moderate,NA,362,6,car,good,112500,0,Commercial associate,Secondary / secondary special,0,0,Sales staff
380,39,male,2,own,NA,little,2212,20,furniture/equipment,good,67500,1,Pensioner,Secondary / secondary special,0,0,
381,38,female,3,free,little,moderate,12976,18,car,bad,81000,0,Working,Secondary / secondary special,0,1,High skill tech staff
382,25,female,2,rent,NA,NA,1283,22,car,good,40500,0,Pensioner,Secondary / secondary special,0,0,
383,26,male,2,own,little,rich,1330,12,car,good,135000,0,Pensioner,Secondary / secondary special,0,0,
384,26,male,1,own,moderate,NA,4272,30,business,good,148500,0,State servant,Secondary / secondary special,1,0,Cooking staff
385,25,female,2,own,little,NA,2238,18,radio/TV,good,144000,0,Pensioner,Secondary / secondary special,0,0,
386,21,female,2,rent,NA,NA,1126,18,radio/TV,good,202500,2,Working,Secondary / secondary special,0,0,Sales staff
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good,157500,0,Working,Higher education,0,0,Laborers
388,27,male,2,own,quite rich,moderate,2326,15,business,good,144000,0,Commercial associate,Secondary / secondary special,0,0,Laborers
389,27,female,2,own,little,NA,1449,9,business,good,171000,1,Working,Secondary / secondary special,0,0,
390,30,male,3,own,little,NA,1820,18,car,good,247500,2,Working,Higher education,0,0,
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good,607500,3,Commercial associate,Higher education,0,0,Managers
392,39,male,3,free,little,little,3249,36,car,good,135000,2,Working,Higher education,0,0,Core staff
393,31,female,2,own,little,little,1957,6,radio/TV,good,211500,1,Working,Secondary / secondary special,0,0,Drivers
394,31,male,3,own,little,NA,2406,9,furniture/equipment,good,211500,0,Working,Higher education,1,0,Core staff
395,32,male,2,rent,moderate,moderate,11760,39,education,good,90000,0,Pensioner,Secondary / secondary special,0,0,
396,55,female,3,free,little,little,2578,12,furniture/equipment,good,270000,0,Commercial associate,Secondary / secondary special,1,0,Drivers
397,46,male,2,own,little,little,2348,36,furniture/equipment,good,315000,0,Commercial associate,Higher education,0,0,
398,46,male,2,rent,little,moderate,1223,12,car,bad,252000,0,Working,Secondary / secondary special,0,0,Core staff
399,43,female,1,own,rich,NA,1516,24,radio/TV,good,111919.5,0,Commercial associate,Secondary / secondary special,1,0,Laborers
400,39,male,2,own,little,NA,1473,18,radio/TV,good,112500,0,Pensioner,Secondary / secondary special,1,0,
401,28,male,2,own,NA,moderate,1887,18,business,good,112500,0,Working,Secondary / secondary special,0,1,Drivers
402,27,male,2,own,little,NA,8648,24,business,bad,135000,0,Working,Secondary / secondary special,1,0,Laborers
403,27,male,1,own,little,NA,802,14,car,good,81000,0,Working,Secondary / secondary special,0,0,Laborers
404,43,male,2,own,NA,moderate,2899,18,car,good,112500,0,Pensioner,Secondary / secondary special,0,0,
405,22,male,2,own,little,moderate,2039,24,radio/TV,bad,450000,0,Commercial associate,Higher education,0,0,Managers
406,43,male,2,own,NA,NA,2197,24,car,good,225000,0,Commercial associate,Higher education,0,0,
407,27,male,2,own,little,little,1053,15,radio/TV,good,112500,1,Working,Secondary / secondary special,0,0,Laborers
408,26,male,3,own,quite rich,NA,3235,24,radio/TV,good,135000,1,Working,Secondary / secondary special,1,0,Laborers
409,28,male,2,own,quite rich,rich,939,12,car,bad,405000,0,Commercial associate,Higher education,0,0,Managers
410,20,female,2,own,little,moderate,1967,24,radio/TV,good,450000,0,Commercial associate,Higher education,0,0,Managers
411,35,male,3,own,little,NA,7253,33,car,good,405000,0,Commercial associate,Higher education,0,0,Accountants
412,42,male,3,own,little,NA,2292,12,business,bad,225000,1,Working,Secondary / secondary special,1,0,Laborers
413,40,male,1,rent,quite rich,NA,1597,10,car,good,112500,1,Working,Secondary / secondary special,0,0,Drivers
414,35,female,2,own,NA,little,1381,24,car,bad,90000,1,Working,Secondary / secondary special,0,0,Laborers
415,35,male,2,own,little,NA,5842,36,car,good,90000,0,Working,Secondary / secondary special,0,0,Laborers
416,33,male,1,own,little,little,2579,12,car,bad,450000,0,Commercial associate,Secondary / secondary special,0,0,IT staff
417,23,female,2,rent,NA,little,8471,18,education,good,180000,0,Working,Secondary / secondary special,1,0,Laborers
418,31,female,3,own,quite rich,NA,2782,21,car,good,112500,0,Commercial associate,Secondary / secondary special,0,0,Medicine staff
419,33,female,2,own,NA,moderate,1042,18,car,bad,270000,1,Working,Secondary / secondary special,1,0,Security staff
420,20,female,2,rent,rich,NA,3186,15,car,good,58500,0,Pensioner,Secondary / secondary special,1,0,
421,30,male,2,own,NA,moderate,2028,12,car,good,121500,0,Pensioner,Secondary / secondary special,0,0,
422,47,male,1,own,little,moderate,958,12,car,good,270000,1,Commercial associate,Higher education,0,0,Core staff
423,34,male,3,own,moderate,NA,1591,21,furniture/equipment,good,90000,0,Working,Secondary / secondary special,1,0,Laborers
424,25,female,2,own,NA,moderate,2762,12,furniture/equipment,bad,135000,0,Working,Secondary / secondary special,0,0,Security staff
425,21,male,2,rent,little,moderate,2779,18,car,good,193500,0,Working,Secondary / secondary special,0,0,Drivers
426,29,male,2,own,little,NA,2743,28,radio/TV,good,450000,3,State servant,Higher education,0,0,Core staff
427,46,male,2,own,rich,NA,1149,18,radio/TV,good,270000,0,Working,Higher education,1,0,
428,20,male,2,own,little,NA,1313,9,furniture/equipment,good,112500,1,Working,Secondary / secondary special,0,0,
429,55,female,0,free,little,little,1190,18,repairs,bad,450000,0,Working,Secondary / secondary special,1,0,Sales staff
430,74,male,1,own,little,NA,3448,5,business,good,135000,0,Commercial associate,Secondary / secondary special,1,0,Low-skill Laborers
431,29,male,3,own,little,moderate,11328,24,vacation/others,bad,112500,0,Working,Secondary / secondary special,0,0,
432,36,male,3,free,little,little,1872,6,furniture/equipment,good,225000,0,Working,Secondary / secondary special,0,0,
433,33,male,2,own,little,NA,2058,24,repairs,good,202500,0,Commercial associate,Secondary / secondary special,0,0,Laborers
434,25,male,2,own,little,little,2136,9,furniture/equipment,good,247500,1,Working,Higher education,0,0,Laborers
435,25,male,2,own,NA,moderate,1484,12,radio/TV,bad,202500,0,Commercial associate,Higher education,0,0,Core staff
436,23,male,1,rent,quite rich,NA,660,6,repairs,good,189000,0,Pensioner,Secondary / secondary special,1,0,
437,37,female,2,own,rich,NA,1287,24,car,good,157500,0,Commercial associate,Secondary / secondary special,1,0,Core staff
438,65,male,0,own,little,little,3394,42,repairs,good,225000,3,Working,Secondary / secondary special,0,0,Security staff
439,26,female,0,own,little,rich,609,12,business,bad,112500,0,Working,Secondary / secondary special,0,0,
440,39,male,3,own,little,NA,1884,12,car,good,202500,1,Commercial associate,Secondary / secondary special,0,0,Sales staff
441,30,female,2,own,little,little,1620,12,furniture/equipment,good,450000,0,Commercial associate,Higher education,1,1,Managers
442,29,male,2,own,little,moderate,2629,20,vacation/others,good,90000,0,Pensioner,Secondary / secondary special,0,0,
443,41,male,1,own,little,NA,719,12,education,bad,85500,0,Working,Secondary / secondary special,1,0,Sales staff
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad,180000,0,Commercial associate,Secondary / secondary special,0,0,
445,41,female,1,rent,NA,NA,1244,9,education,good,270000,0,Pensioner,Higher education,0,0,
446,34,female,2,own,little,little,1842,36,car,bad,157500,0,Commercial associate,Secondary / secondary special,1,0,Laborers
447,35,male,2,own,little,moderate,2576,7,radio/TV,good,157500,0,Pensioner,Secondary / secondary special,1,0,
448,55,female,3,own,NA,rich,1424,12,furniture/equipment,good,117000,0,Pensioner,Secondary / secondary special,0,0,
449,61,male,2,own,rich,moderate,1512,15,repairs,bad,112500,0,Pensioner,Secondary / secondary special,1,0,
450,30,male,3,own,NA,NA,11054,36,car,good,135000,0,Working,Secondary / secondary special,0,0,Laborers
451,29,female,2,own,little,NA,518,6,radio/TV,good,157500,0,Pensioner,Secondary / secondary special,0,0,
452,34,male,2,own,little,NA,2759,12,furniture/equipment,good,180000,1,Working,Secondary / secondary special,0,0,
453,35,male,3,own,little,NA,2670,24,car,good,225000,0,Commercial associate,Secondary / secondary special,0,0,Low-skill Laborers
454,31,male,2,own,little,little,4817,24,car,bad,112500,0,Working,Secondary / secondary special,0,0,
455,29,female,3,own,little,NA,2679,24,car,good,157500,0,Working,Secondary / secondary special,0,0,Laborers
456,36,male,2,rent,little,little,3905,11,car,good,144000,1,Commercial associate,Secondary / secondary special,1,0,Drivers
457,35,male,2,free,little,little,3386,12,car,bad,112500,0,Commercial associate,Higher education,1,0,Accountants
458,27,female,2,own,little,little,343,6,domestic appliances,good,90000,1,Working,Secondary / secondary special,0,0,
459,32,male,2,own,little,NA,4594,18,radio/TV,good,135000,0,Working,Higher education,0,0,Core staff
460,37,male,2,own,little,little,3620,36,furniture/equipment,good,135000,0,Commercial associate,Secondary / secondary special,0,0,Sales staff
461,36,male,2,own,little,little,1721,15,car,good,112500,2,Working,Higher education,0,0,Core staff
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good,99000,0,Working,Secondary / secondary special,0,0,Laborers
463,38,male,2,own,NA,moderate,754,12,education,good,121500,0,Working,Secondary / secondary special,0,0,Laborers
464,34,male,2,own,little,NA,1950,18,business,good,157500,0,Commercial associate,Secondary / secondary special,0,0,Laborers
465,63,male,2,own,little,little,2924,24,car,good,90000,0,Working,Secondary / secondary special,0,0,Laborers
466,29,female,1,rent,little,little,1659,24,radio/TV,bad,99000,2,Commercial associate,Secondary / secondary special,0,0,Sales staff
467,32,male,2,own,NA,NA,7238,48,radio/TV,good,180000,1,Working,Higher education,0,0,Accountants
468,26,female,2,own,little,NA,2764,33,business,good,157500,1,Working,Secondary / secondary special,0,0,Security staff
469,35,male,1,own,little,NA,4679,24,car,good,184500,0,State servant,Secondary / secondary special,1,0,Core staff
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad,157500,1,State servant,Secondary / secondary special,0,0,Medicine staff
471,23,female,2,own,little,little,448,6,education,bad,180000,2,Working,Secondary / secondary special,0,0,Sales staff
472,28,male,1,own,little,little,654,9,car,bad,112500,0,Working,Secondary / secondary special,0,0,Medicine staff
473,36,male,3,own,NA,NA,1238,6,education,good,157500,0,Pensioner,Secondary / secondary special,0,1,
474,33,male,2,own,little,moderate,1245,18,radio/TV,bad,96750,0,Commercial associate,Secondary / secondary special,0,0,Sales staff
475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad,144000,0,Working,Secondary / secondary special,0,0,
476,24,male,2,own,quite rich,NA,2569,39,car,good,67500,0,Pensioner,Secondary / secondary special,0,0,
477,25,male,2,own,little,rich,5152,24,radio/TV,good,211500,0,Working,Secondary / secondary special,1,1,High skill tech staff
478,39,male,1,own,moderate,moderate,1037,12,business,good,225000,0,Commercial associate,Secondary / secondary special,0,0,Private service staff
479,44,male,2,own,little,little,1478,15,furniture/equipment,good,247500,0,Commercial associate,Higher education,0,0,Laborers
480,23,female,1,own,little,moderate,3573,12,radio/TV,good,225000,0,Commercial associate,Higher education,0,0,Managers
481,26,male,2,own,little,moderate,1201,24,car,good,112500,0,Working,Secondary / secondary special,0,0,Sales staff
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good,58500,0,Pensioner,Secondary / secondary special,0,0,
483,30,female,2,own,rich,NA,960,15,furniture/equipment,good,225000,0,Commercial associate,Incomplete higher,1,0,Sales staff
484,44,male,2,own,quite rich,NA,1163,12,car,good,157500,0,Working,Secondary / secondary special,1,0,Laborers
485,47,male,3,own,little,moderate,1209,6,car,bad,450000,0,State servant,Higher education,0,0,Core staff
486,52,male,2,own,little,NA,3077,12,radio/TV,good,49500,0,Pensioner,Higher education,0,0,
487,62,female,2,free,little,NA,3757,24,car,good,337500,1,State servant,Higher education,0,0,Managers
488,35,male,1,rent,moderate,NA,1418,10,car,good,135000,0,Working,Secondary / secondary special,1,0,Sales staff
489,26,male,2,rent,little,NA,3518,6,car,good,180000,2,Commercial associate,Secondary / secondary special,0,0,Drivers
490,26,male,2,own,little,NA,1934,12,radio/TV,good,112500,0,Pensioner,Secondary / secondary special,0,0,
491,42,female,3,free,little,moderate,8318,27,business,bad,117000,1,Working,Secondary / secondary special,0,0,Cooking staff
492,27,female,2,own,moderate,NA,1237,6,radio/TV,good,99000,0,Working,Secondary / secondary special,0,0,Sales staff
493,38,male,2,own,NA,moderate,368,6,radio/TV,good,180000,0,Commercial associate,Secondary / secondary special,0,0,Laborers
494,39,male,1,rent,little,little,2122,12,car,good,292500,2,Working,Secondary / secondary special,0,0,Drivers
495,20,male,2,own,NA,little,2996,24,furniture/equipment,bad,31500,0,Pensioner,Lower secondary,0,0,
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad,157500,1,Working,Secondary / secondary special,1,0,
497,40,male,2,own,little,NA,1585,24,furniture/equipment,good,225000,0,Commercial associate,Higher education,0,0,Drivers
498,32,male,1,own,little,moderate,1301,18,radio/TV,good,108000,0,Pensioner,Higher education,0,0,
499,28,male,2,own,moderate,rich,1323,6,car,good,180000,2,Commercial associate,Secondary / secondary special,0,0,Cooking staff
500,27,female,2,own,little,little,3123,24,car,bad,171000,0,Pensioner,Lower secondary,1,0,
501,42,male,2,free,little,little,5493,36,car,good,135000,1,Commercial associate,Lower secondary,0,0,Laborers
502,49,male,2,own,moderate,rich,1126,9,radio/TV,good,180000,2,Working,Secondary / secondary special,1,0,High skill tech staff
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad,270000,0,Working,Secondary / secondary special,0,0,Laborers
504,24,female,2,rent,little,little,1207,24,car,bad,270000,0,Commercial associate,Higher education,0,0,
505,27,male,1,own,NA,NA,1309,10,car,bad,135000,0,Pensioner,Secondary / secondary special,0,0,
506,36,male,2,own,quite rich,rich,2360,15,car,good,360000,1,Commercial associate,Secondary / secondary special,0,0,Drivers
507,34,male,3,own,moderate,moderate,6850,15,car,bad,139500,0,Working,Secondary / secondary special,0,0,Accountants
508,28,male,2,own,little,NA,1413,24,radio/TV,good,126000,0,Working,Secondary / secondary special,1,0,Laborers
509,45,male,3,own,moderate,NA,8588,39,car,good,85500,0,Pensioner,Secondary / secondary special,0,0,
510,26,male,2,own,little,little,759,12,car,bad,90000,1,Working,Secondary / secondary special,0,0,Cleaning staff
511,32,male,3,free,little,NA,4686,36,car,good,157500,1,Commercial associate,Higher education,0,0,Laborers
512,26,male,2,rent,little,rich,2687,15,business,good,103500,0,Working,Secondary / secondary special,1,0,
